Test_ID,Module,Sub_Module,Priority,Roles,Route_URL,Test_Case,Preconditions,Steps,Expected_Result,Status,Actual_Result,Bug_Link,Tester,Test_Date,Environment,Notes
UAT-154,Public,Shelter 404,P2,PUB,/shelters/invalid-id,ID ศูนย์ไม่พบ,-,1) เปิด id ปลอม,แสดงไม่พบข้อมูลศูนย์พักพิง,Not Tested,,,,,Staging,
UAT-155,Public,Family search success,P0,FAM,/search,สืบค้นญาติด้วยคำค้น ≥ 3 ตัวอักษร,มีผู้ประสบภัยที่ไม่ได้ opt-out และยินยอมแสดง,"1) ค้นชื่อ/สกุล/เบอร์/บัตร ≥ 3 ตัว
2) ดูผล",ได้ผลแบบ masked (ชื่อ/ชื่อเล่น/สถานะศูนย์) ไม่โชว์ medical/national ID เต็ม,Not Tested,,,,,Staging,FR-53 anti-enumeration
UAT-156,Public,Family search short query,P0,FAM,/search,ค้นน้อยกว่า 3 ตัวอักษรถูกกัน,-,1) พิมพ์ 1–2 ตัวแล้วค้น,ไม่ค้นได้ / บังคับ ≥ 3 ตัว,Not Tested,,,,,Staging,
UAT-157,Public,Family search opt-out,P0,"FAM,SM",/search,ผู้ที่ opt-out ไม่ขึ้นในผลค้นหา,ตั้ง opt-out ให้คนทดสอบจาก staff,"1) Opt-out จาก staff (FR-52)
2) ค้นด้วยชื่อคนนั้นฝั่ง public",ไม่พบในผลลัพธ์สาธารณะ,Not Tested,,,,,Staging,
UAT-158,Public,Family search rate limit,P1,FAM,/search,Rate limit เมื่อค้นถี่เกินไป,-,1) ส่งคำค้นซ้ำเร็วๆ จำนวนมาก,ได้ 429 หรือข้อความจำกัดการใช้งาน,Not Tested,,,,,Staging,NFR anti-enumeration
UAT-159,Public,No PII leak,P0,"FAM,PUB",/search + /shelters,ตรวจว่า public ไม่รั่ว medical / บัตรประชาชน / ที่อยู่ละเอียดผู้ประสบภัย,-,1) ตรวจ response UI และ network (DevTools) ของ public endpoints,"ไม่มี medical, national ID เต็ม, หรือ PII ที่ห้ามตาม matrix §6",Not Tested,,,,,Staging,Security/Privacy critical
UAT-170,Public,Donation full flow,P0,DN,/donations,บริจาคครบ 4 ขั้นจนได้ตั๋ว/QR,มี needs บนกระดาน; CAPTCHA ตาม env,"1) เลือกความต้องการ
2) กรอกรายการบริจาค
3) นัดหมาย
4) ได้ตั๋ว + tracking token/QR",ได้ booking ref และสามารถ track ได้,Not Tested,,,,,Staging,
UAT-171,Public,Donation track by ref,P0,DN,/donations/track,ติดตามสถานะด้วย booking ref + เบอร์,มี declaration จาก UAT-170,"1) กรอก DN-… + phone
2) Submit",พาไป timeline สถานะของ token นั้น,Not Tested,,,,,Staging,
UAT-172,Public,Donation track by token,P0,DN,/donations/track/[token],เปิดลิงก์ token ตรงๆ,มี token ถูกต้อง,1) เปิด URL token,แสดง timeline; token ผิด = ไม่พบ/error,Not Tested,,,,,Staging,
UAT-173,Public,Donation cut-off,P1,"DN,WS",/donations,หลัง cut-off ไม่รับจองรายการนั้น,ตั้ง cut-off จาก staff needs board,"1) ตั้ง cut-off รายการ
2) ลองจองฝั่ง public",ไม่ให้จองรายการที่ตัดรอบแล้ว (หรือ redirect ตาม FR-36/37),Not Tested,,,,,Staging,
UAT-174,Public,Donation wrong phone on track,P1,DN,/donations/track,เบอร์ไม่ตรงกับ booking ต้องไม่เปิดสถานะ,มี booking,1) ใส่ ref ถูกแต่เบอร์ผิด,ไม่เปิดข้อมูล declaration ของคนอื่น,Not Tested,,,,,Staging,Privacy
UAT-180,Public,Volunteers page,P3,PUB,/volunteers,หน้าอาสาสมัคร (ยังไม่ production-ready),-,1) เปิด /volunteers,บันทึกสถานะจริง (shell/demo) — Skip ถ้ายังไม่เปิดใช้งาน,Not Tested,,,,,Staging,Known stub; ไม่มีใน navbar
UAT-181,System Management,Host houses stub,P3,SA,/portal/system-management/host-houses,บ้านพี่เลี้ยงยังเป็น stub,-,1) เปิดหน้า,Empty/stub — Skip expected,Not Tested,,,,,Staging,
UAT-182,Nav,Placeholder menus,P3,"SA,SM",back-office nav,เมนูที่ยังไม่มีหน้า (href null) ไม่พัง,-,"1) ไล่เมนู: อาสาสมัคร, รายงานความโปร่งใส, รายงานหลังเหตุการณ์, GIS ฯลฯ",ไม่คลิกได้หรือแสดงเร็วๆนี้ — ไม่ error 500,Not Tested,,,,,Staging,
UAT-190,Me,Profile,P2,All staff,/me,ดูโปรไฟล์ผู้ใช้ปัจจุบัน,Login,1) เปิด /me,แสดงข้อมูล user ปัจจุบันถูกต้อง,Not Tested,,,,,Staging,
UAT-200,Cross-cutting,Shelter selector SA,P0,SA,navbar,SA สลับศูนย์แล้วข้อมูลตามศูนย์ที่เลือก,มี ≥2 ศูนย์,"1) เลือกศูนย์ A ตรวจรายการ
2) สลับศูนย์ B",ข้อมูลเปลี่ยนตามศูนย์ที่เลือก,Not Tested,,,,,Staging,
UAT-201,Cross-cutting,Concurrency 409,P1,"SA,SM",any edit form,แก้ไขเอกสารพร้อมกันสองแท็บจัดการ conflict,เปิดเอกสารเดียวกัน 2 แท็บ,"1) แท็บ A บันทึก
2) แท็บ B บันทึกทับ",แท็บ B ได้ conflict/แจ้งให้รีโหลด ไม่เงียบทับข้อมูล,Not Tested,,,,,Staging,_rev RMW
UAT-202,Cross-cutting,Root redirect,P2,PUB,/,Root / พาไป /public,-,1) เปิด /,Redirect ไป /public,Not Tested,,,,,Staging,
UAT-203,Cross-cutting,Toast feedback,P2,All,หลายหน้า,สำเร็จ/ล้มเหลวใช้ toast ไม่พังเงียบ,-,1) ทำ create/update/delete สำเร็จและล้มเหลว,มี toast ชัดเจน; ไม่พึ่ง console.log เป็น feedback หลัก,Not Tested,,,,,Staging,
UAT-204,Cross-cutting,Mobile responsive smoke,P1,"PUB,REG",/public + /onsite,Smoke บนมือถือ/ความกว้างแคบ,ใช้ device หรือ DevTools mobile,"1) เปิด public landing + shelters
2) เปิด onsite registration ขั้นแรก",ใช้งานได้โดยไม่ตัดปุ่มสำคัญ/เลื่อนผิดแนวร้ายแรง,Not Tested,,,,,Staging,
UAT-205,Cross-cutting,End-to-end happy path,P0,"SA,REG,WS,DN,PUB",หลายโมดูล,Happy path ครบวงจร: สร้างศูนย์ → ลงทะเบียนคน → check-in → บริจาค → รับเข้า → ครัวเบิก,บัญชีครบ role,"1) SA สร้าง/ตั้งศูนย์+โซน
2) REG ลงทะเบียน+check-in
3) DN บริจาคผ่าน public
4) WS รับของเข้าคลัง
5) KS สร้างแผน/เบิกวัตถุดิบ
6) PUB เห็นศูนย์และค้นหาญาติ (masked)",ทุกขั้นสำเร็จ ข้อมูลเชื่อมกัน และ public ไม่รั่ว PII,Not Tested,,,,,Staging,Regression gate ก่อน go-live
